Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v2-precision_float-0.75-192,resnet,SingleStream,5.301958,68.834,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v2-precision_float-0.75-192/singlestream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,2,v3.0,0,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v2-precision_float-0.75-192,resnet,Offline,193.172,68.834,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v2-precision_float-0.75-192/offline,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,3,v3.0,1,False,Samples/s
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v2-precision_uint8-0.35-160,resnet,MultiStream,10.399664,54.566,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v2-precision_uint8-0.35-160/multistream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,1,v3.0,1,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v2-precision_uint8-0.35-160,resnet,SingleStream,0.735708,54.566,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v2-precision_uint8-0.35-160/singlestream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,2,v3.0,0,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v2-precision_uint8-0.35-160,resnet,Offline,1646.52,54.566,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v2-precision_uint8-0.35-160/offline,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,3,v3.0,1,False,Samples/s
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v1-precision_float-0.25-160,resnet,MultiStream,7.361,47.810,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v1-precision_float-0.25-160/multistream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,1,v3.0,1,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v1-precision_float-0.25-160,resnet,SingleStream,0.844791,47.810,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v1-precision_float-0.25-160/singlestream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,2,v3.0,0,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v1-precision_float-0.25-160,resnet,Offline,1208.84,47.810,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v1-precision_float-0.25-160/offline,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,3,v3.0,1,False,Samples/s
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v2-precision_uint8-0.35-192,resnet,MultiStream,14.84,56.594,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v2-precision_uint8-0.35-192/multistream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,1,v3.0,1,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v2-precision_uint8-0.35-192,resnet,SingleStream,0.78625,56.594,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v2-precision_uint8-0.35-192/singlestream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,2,v3.0,0,False,Latency (ms)
